                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 0.5027,                 0.9797,                 0.3757,                0.90799,                0.86009,                0.76601,                0.84221,                0.63402,                0.86242,                0.76449,                0.83468,                0.58737,                0.69454,                   1.36,                0.51379,                 1.0552,             0.00045055,             0.00045055,             0.00045055
                     57,                0.48941,                0.96445,                0.38118,                0.90991,                0.85751,                0.77689,                0.84541,                0.61704,                0.76483,                0.82663,                0.83121,                0.59163,                0.70114,                 1.3666,                0.52089,                 1.0666,             0.00044056,             0.00044056,             0.00044056
                     58,                0.50843,                 1.0079,                0.38832,                0.90352,                 0.8814,                0.71672,                 0.8466,                0.62123,                0.88149,                0.71463,                0.83485,                0.58824,                0.69172,                 1.3589,                0.52082,                 1.0591,             0.00043057,             0.00043057,             0.00043057
                     59,                0.51851,                 1.0135,                 0.3859,                0.91195,                0.84357,                0.79156,                0.84201,                0.63407,                0.84121,                0.78829,                0.83303,                 0.5863,                0.70171,                 1.3454,                0.51242,                  1.062,             0.00042058,             0.00042058,             0.00042058
                     60,                0.48743,                0.96999,                0.36887,                0.89741,                0.85102,                0.71149,                0.85008,                0.61087,                0.84808,                 0.7094,                0.84229,                0.57042,                0.70092,                 1.3925,                0.52574,                 1.0692,             0.00041059,             0.00041059,             0.00041059
                     61,                 0.4803,                0.96665,                0.35803,                0.90068,                0.89089,                0.69203,                0.84772,                0.62246,                0.88905,                0.69115,                0.83926,                0.56926,                0.69978,                 1.3937,                0.54587,                 1.0705,              0.0004006,              0.0004006,              0.0004006
                     62,                0.49517,                0.97679,                0.37436,                 0.9124,                0.88969,                0.68324,                0.84754,                0.63308,                0.88925,                0.68215,                 0.8359,                 0.5999,                0.70537,                 1.3924,                0.52313,                 1.0687,             0.00039061,             0.00039061,             0.00039061
                     63,                 0.5038,                0.98148,                0.37969,                0.90568,                0.83659,                0.84005,                 0.8368,                0.62173,                0.83344,                0.83692,                0.82832,                0.56992,                 0.6948,                 1.3966,                0.53472,                 1.0707,             0.00038062,             0.00038062,             0.00038062
                     64,                0.48471,                0.95216,                0.36628,                 0.8993,                0.83414,                 0.7373,                0.81066,                0.60967,                0.83176,                0.73416,                0.80283,                0.56063,                0.70063,                  1.368,                0.52476,                 1.0634,             0.00037063,             0.00037063,             0.00037063
                     65,                0.48932,                0.96694,                0.36686,                0.91124,                0.88071,                0.65463,                0.78817,                0.60902,                  0.882,                0.65568,                 0.7922,                 0.5541,                0.69644,                 1.3744,                0.52994,                 1.0591,             0.00036064,             0.00036064,             0.00036064
                     66,                0.49326,                0.96695,                0.37599,                 0.9105,                0.87764,                0.66711,                0.79087,                 0.5894,                0.87605,                0.66424,                0.78334,                0.54524,                0.70734,                  1.392,                 0.5318,                 1.0733,             0.00035065,             0.00035065,             0.00035065
                     67,                0.48011,                0.97542,                0.36866,                0.90356,                 0.9029,                0.69421,                 0.8113,                0.59971,                0.90708,                0.69582,                0.80635,                0.55909,                0.70893,                 1.3939,                0.52724,                 1.0673,             0.00034066,             0.00034066,             0.00034066
                     68,                0.48774,                0.98953,                   0.37,                0.89965,                0.73154,                 0.8411,                0.82072,                0.63559,                0.72899,                0.83767,                0.81332,                 0.5808,                 0.7081,                 1.3856,                0.52139,                 1.0669,             0.00033067,             0.00033067,             0.00033067
                     69,                0.48661,                0.97143,                0.36283,                0.90415,                0.74902,                0.80192,                0.83415,                  0.632,                0.74466,                0.79662,                0.82669,                0.59299,                0.69372,                 1.3706,                0.52846,                 1.0507,             0.00032068,             0.00032068,             0.00032068
                     70,                0.49055,                0.97157,                 0.3678,                0.89999,                0.84931,                0.78205,                0.84933,                0.63378,                0.84839,                0.77995,                0.84142,                0.59741,                0.68802,                 1.3606,                0.51127,                 1.0488,             0.00031069,             0.00031069,             0.00031069
                     71,                0.50518,                0.96752,                0.36106,                0.90438,                0.85599,                0.76053,                0.82125,                0.63961,                0.85477,                0.75949,                0.82543,                0.57882,                0.69436,                 1.3833,                0.54127,                 1.0586,              0.0003007,              0.0003007,              0.0003007
                     72,                0.48342,                0.96277,                0.36441,                0.89435,                0.85415,                0.76068,                0.81893,                0.61978,                0.85537,                0.76173,                0.81056,                0.56967,                0.69841,                 1.4377,                 0.5381,                 1.0651,             0.00029071,             0.00029071,             0.00029071
                     73,                0.50489,                0.98275,                0.37403,                0.90905,                0.85787,                 0.7649,                0.84831,                0.62958,                0.89722,                0.69475,                0.83288,                0.60107,                0.69997,                 1.4189,                0.51546,                  1.067,             0.00028072,             0.00028072,             0.00028072
                     74,                0.48782,                0.97496,                0.35921,                0.89764,                0.85223,                0.77577,                 0.8455,                 0.6231,                0.85108,                0.77472,                0.83864,                0.59213,                0.70965,                 1.3944,                0.51643,                 1.0772,             0.00027073,             0.00027073,             0.00027073
                     75,                0.46462,                0.92614,                0.34515,                0.89169,                0.78559,                0.84528,                0.84504,                0.61816,                0.78133,                0.84005,                0.83629,                0.59061,                0.70551,                 1.3895,                0.51752,                 1.0745,             0.00026074,             0.00026074,             0.00026074
                     76,                0.46964,                0.93382,                0.34152,                 0.8944,                0.84464,                0.78648,                0.85134,                0.62352,                0.84255,                0.78493,                0.84276,                0.60012,                0.70015,                 1.4018,                0.53047,                 1.0639,             0.00025075,             0.00025075,             0.00025075
